section,analysis,field_or_component,estimate,standard_error,ci_lower,ci_upper,n_years,n_sites,notes,n_records,n_high_days,n_middle_days,n_fields
spatial_support,primary_equirect_equal_fixed_labels,five_scale_raw_ratio,-0.0728344831814079,0.013325741361000537,-0.09997813008595527,-0.04569083627686051,33.0,121.0,primary_121; equirectangular; equal_site; frozen_primary,,,,
spatial_support,primary_wgs84_equal_fixed_labels,five_scale_raw_ratio,-0.06973712319708796,0.01360526723073815,-0.09745014566606357,-0.04202410072811234,33.0,121.0,primary_121; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,primary_wgs84_area_fixed_labels,five_scale_raw_ratio,-0.07802418189600338,0.012981573985683519,-0.10446678279803638,-0.05158158099397038,33.0,121.0,primary_121; WGS84_geodesic; cosine_latitude_area; frozen_primary,,,,
spatial_support,primary_wgs84_area_relabelled,five_scale_raw_ratio,-0.07369593119050659,0.01271848412641271,-0.09960263558586466,-0.04778922679514852,33.0,121.0,primary_121; WGS84_geodesic; cosine_latitude_area; area_mean_relabelled,,,,
spatial_support,full_downloaded_domain_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07762046332932106,0.012882903326099726,-0.10386207867482664,-0.05137884798381548,33.0,465.0,full_downloaded_domain; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,full_downloaded_domain_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.06933924629660365,0.012932931930723155,-0.09568276657499347,-0.04299572601821383,33.0,465.0,full_downloaded_domain; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,full_downloaded_domain_wgs84_area_relabelled,five_scale_raw_ratio,-0.06837684913096909,0.012146699952036252,-0.09311886727627694,-0.04363483098566123,33.0,465.0,full_downloaded_domain; WGS84_geodesic; cosine_latitude_area; area_mean_relabelled,,,,
spatial_support,south_edge_inward_0.9deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07660494601454572,0.012931958752984954,-0.10294648399475148,-0.05026340803433996,33.0,462.0,south_edge_inward_0.9deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.0666637089497451,0.013015160418100928,-0.093174723175857,-0.04015269472363321,33.0,462.0,south_edge_inward_0.9deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,south_edge_inward_1.8deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.07450663108703405,0.013050414810351355,-0.10108945616022426,-0.04792380601384384,33.0,457.0,south_edge_inward_1.8deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.06443917503001084,0.013039205945136086,-0.09099916839190172,-0.03787918166811997,33.0,457.0,south_edge_inward_1.8deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,north_edge_inward_0.9deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.09028147216009325,0.012141805724725091,-0.11501352109060052,-0.06554942322958597,33.0,439.0,north_edge_inward_0.9deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.07393577762066253,0.011559224111026924,-0.09748114663694121,-0.050390408604383846,33.0,439.0,north_edge_inward_0.9deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,north_edge_inward_1.8deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.10294388156038693,0.011631006126735463,-0.12663546575792312,-0.07925229736285075,33.0,413.0,north_edge_inward_1.8deg; WGS84_geodesic; equal_site; frozen_primary,,,,
spatial_support,north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,five_scale_raw_ratio,-0.07966535151120167,0.010707739983507183,-0.10147630411670837,-0.05785439890569498,33.0,413.0,north_edge_inward_1.8deg; WGS84_geodesic; equal_site; domain_mean_relabelled,,,,
spatial_support,west_edge_inward_0.8deg_wgs84_equal_frozen_primary,five_scale_raw_ratio,-0.08258723921281023,0.013006753410611636,-0.10908112892504847,-0.056093349500572,33.0,440.0,west_edge_inward_0.8deg; WGS84_geodesic; equal_site; frozen_primary,,,,
